unit,assetId,familyId,familyTitle,finalImageTitle,roleInFamily,pedagogicalStatesPresent,needClassification,needOverride,productionClass,productionClassLabel,priority,priorityLabel,curriculumContext,instructionalPurpose,learnerVisiblePurpose,immutableFacts,prohibitedChanges,requiredLabelsPresent,requiredLabelsList,labelsPedagogicallyRequired,annotationPolicy,artExpectation,currentReferenceTitle,currentReferenceUrl,currentReferenceLicence,currentReferenceQualityGrade,secondaryReferenceTitle,secondaryReferenceUrl,secondaryReferenceLicence,referenceMissing,referenceComposite,referenceSuspectUnsuitable,blockedNotes,canonicalStates,canonicalStateCount,outputSubfolder,filenameBase,expectedOutputPathStem,governedDiagramBlueprintId,currentWorkflowStatus,hiddenFromStudio,requiresReferenceResearch,referenceStatus,currentReferenceConfidence,notesForReferenceResearch,sharedReferenceSiblings
Unit 202,unit202.current-conductor.magnetic-field,unit202.family.right-hand-grip,Right-hand grip rule / field around a conductor,Magnetic field around a current-carrying conductor,PHENOMENON,TEACHING; ASSESSMENT,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Show the actual electromagnetic phenomenon that the right-hand grip mnemonic predicts, independent of the mnemonic itself.","One premium illustration of a straight conductor with concentric magnetic field lines circulating around it -- direction-neutral, with no baked current-direction or circulation arrowheads (those are added deterministically per state), matching the reference field geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","straight current-carrying conductor; magnetic field circulates around the conductor (closed concentric loops, not radiating outward); reversing the current reverses the direction of circulation; any depiction of field strength must not contradict a stronger field nearer the conductor; the concentric field-line pattern is rotationally symmetric -- do not bake in a specific current direction or circulation sense","do not include a hand in this asset -- that is the separate MNEMONIC asset in this family; do not bake a specific current direction or circulation-arrow sense into the base artwork -- CC-11.7B correction: this base must safely serve BOTH current directions via deterministic overlay, never a redraw",FALSE,,TRUE,TEACHING_EXPLANATORY,CLEAN_BASE_ART_WITH_DETERMINISTIC_OVERLAY,"Wikimedia Commons — Right-hand grip rule.svg (field-line geometry only, not the hand)",https://commons.wikimedia.org/wiki/File:Right-hand_grip_rule.svg,Public-domain dedication,A,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.current-conductor.magnetic-field.state.into-page-teaching"",""displayName"":""Current into page — field circulation revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.current-conductor.magnetic-field.state.into-page-assessment"",""displayName"":""Current into page — field circulation withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""} | {""stateId"":""unit202.current-conductor.magnetic-field.state.out-of-page-teaching"",""displayName"":""Current out of page — field circulation revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.current-conductor.magnetic-field.state.out-of-page-assessment"",""displayName"":""Current out of page — field circulation withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""}",4,hybrid,current-conductor-magnetic-field-base,apps/mobile/src/assets/instructional/unit202/hybrid/current-conductor-magnetic-field-base,magnetic.field_conductor_direction,SAVED,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 1 sibling asset(s) (unit202.right-hand-grip.teaching) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.right-hand-grip.teaching
Unit 202,unit202.right-hand-grip.teaching,unit202.family.right-hand-grip,Right-hand grip rule / field around a conductor,Right-hand grip rule — teaching mnemonic,MNEMONIC,TEACHING,REQUIRED,,HYBRID,HYBRID / PREMIUM TEACHING,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Teach that gripping a current-carrying conductor with the right hand, thumb along conventional current direction, gives the direction the magnetic field circulates as shown by the curled fingers.","One premium illustration of a right hand gripping a straight current-carrying conductor, thumb and curled fingers clearly demonstrating the rule. Include the explanatory annotations THUMB = CURRENT and FINGERS = MAGNETIC FIELD plus the correct current and magnetic-field direction indicators -- this is a TEACHING asset and clear labels are part of the deliverable, not something to omit for visual cleanliness. Matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",RIGHT hand; thumb = conventional current direction; curled fingers = magnetic-field circulation direction; reversing current reverses magnetic-field rotation; straight conductor axis,do not swap to the left hand; do not depict the thumb pointing anywhere other than along the conductor's conventional current direction; DO NOT MIRROR OR HORIZONTALLY FLIP HAND-RULE ARTWORK. Mirroring may change handedness (a mirrored right hand can read as a left hand) and invalidate the mnemonic -- never use a mirror/flip transform of this image to represent a reversed current direction.,TRUE,THUMB = CURRENT; FINGERS = MAGNETIC FIELD; current-direction arrow; magnetic-field direction indicator where appropriate,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Right-hand grip rule.svg,https://commons.wikimedia.org/wiki/File:Right-hand_grip_rule.svg,Public-domain dedication,A,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.right-hand-grip.teaching.state.teaching"",""displayName"":""Right-hand grip mnemonic (teaching only)"",""pedagogicalState"":""TEACHING""}",1,teaching,right-hand-grip-teaching-base,apps/mobile/src/assets/instructional/unit202/teaching/right-hand-grip-teaching-base,magnetic.field_conductor_direction,SAVED,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 1 sibling asset(s) (unit202.current-conductor.magnetic-field) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.current-conductor.magnetic-field
Unit 202,unit202.motor.effect.horizontal-poles,unit202.family.fleming-left-hand-motor,Fleming's left-hand rule / motor effect,Motor effect — conductor in magnetic field (N/S poles arranged horizontally),PHENOMENON,TEACHING; ASSESSMENT,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Show a current-carrying conductor between magnetic poles (N/S poles arranged horizontally) experiencing a force perpendicular to both the field and the current (the motor effect), distinct from the Fleming's-left-hand mnemonic itself.","BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium illustration of magnet poles arranged horizontally with a conductor between them, direction-neutral (no baked current/force arrows), ready to receive deterministic N/S, current and force overlays, matching the existing governed motor-effect geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","N to S field direction; conductor positioned between the poles; poles arranged horizontally -- this specific orientation is the defining physical fact of this asset, never mixed with the sibling orientation asset; current explicitly into or out of the page -- the base artwork must not bake in either direction (deterministic overlay per state); resulting force perpendicular to both field and current; must remain visually distinct from the hand-rule mnemonic asset",do not include a hand in this asset -- that is the separate MNEMONIC asset in this family; do not depict the vertical pole arrangement in this asset -- that is the sibling ProductionAsset; do not bake a specific current or force direction into the base artwork -- this base must safely serve both current directions via deterministic overlay,FALSE,,TRUE,TEACHING_EXPLANATORY,CLEAN_BASE_ART_WITH_DETERMINISTIC_OVERLAY,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.motor.effect.horizontal-poles.state.into-page-teaching"",""displayName"":""N/S/horizontal poles, current into page — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.motor.effect.horizontal-poles.state.into-page-assessment"",""displayName"":""N/S/horizontal poles, current into page — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""} | {""stateId"":""unit202.motor.effect.horizontal-poles.state.out-of-page-teaching"",""displayName"":""N/S/horizontal poles, current out of page — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.motor.effect.horizontal-poles.state.out-of-page-assessment"",""displayName"":""N/S/horizontal poles, current out of page — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""}",4,hybrid,motor-effect-horizontal-poles-base,apps/mobile/src/assets/instructional/unit202/hybrid/motor-effect-horizontal-poles-base,motor.force_field_current,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.motor.effect.vertical-poles,unit202.family.fleming-left-hand-motor,Fleming's left-hand rule / motor effect,Motor effect — conductor in magnetic field (N/S poles arranged vertically),PHENOMENON,TEACHING; ASSESSMENT,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Show a current-carrying conductor between magnetic poles (N/S poles arranged vertically) experiencing a force perpendicular to both the field and the current (the motor effect), distinct from the Fleming's-left-hand mnemonic itself.","BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium illustration of magnet poles arranged vertically with a conductor between them, direction-neutral (no baked current/force arrows), ready to receive deterministic N/S, current and force overlays, matching the existing governed motor-effect geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","N to S field direction; conductor positioned between the poles; poles arranged vertically -- this specific orientation is the defining physical fact of this asset, never mixed with the sibling orientation asset; current explicitly into or out of the page -- the base artwork must not bake in either direction (deterministic overlay per state); resulting force perpendicular to both field and current; must remain visually distinct from the hand-rule mnemonic asset",do not include a hand in this asset -- that is the separate MNEMONIC asset in this family; do not depict the horizontal pole arrangement in this asset -- that is the sibling ProductionAsset; do not bake a specific current or force direction into the base artwork -- this base must safely serve both current directions via deterministic overlay,FALSE,,TRUE,TEACHING_EXPLANATORY,CLEAN_BASE_ART_WITH_DETERMINISTIC_OVERLAY,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.motor.effect.vertical-poles.state.into-page-teaching"",""displayName"":""N/S/vertical poles, current into page — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.motor.effect.vertical-poles.state.into-page-assessment"",""displayName"":""N/S/vertical poles, current into page — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""} | {""stateId"":""unit202.motor.effect.vertical-poles.state.out-of-page-teaching"",""displayName"":""N/S/vertical poles, current out of page — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.motor.effect.vertical-poles.state.out-of-page-assessment"",""displayName"":""N/S/vertical poles, current out of page — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""}",4,hybrid,motor-effect-vertical-poles-base,apps/mobile/src/assets/instructional/unit202/hybrid/motor-effect-vertical-poles-base,motor.force_field_current,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.fleming-left-hand.teaching,unit202.family.fleming-left-hand-motor,Fleming's left-hand rule / motor effect,Fleming left-hand rule — motor teaching mnemonic,MNEMONIC,TEACHING,REQUIRED,,HYBRID,HYBRID / PREMIUM TEACHING,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Teach the motor-effect hand mnemonic: thuMb = Motion/force, First finger = Field, seCond finger = Current, each mutually perpendicular on the left hand.","One premium illustration of a left hand with thumb, first finger and second finger held mutually perpendicular, clearly and unambiguously demonstrating Force/Field/Current correspondence. Include the explanatory annotations MOTION / FORCE, FIELD and CURRENT on the corresponding digit -- this is a TEACHING asset and clear labels are part of the deliverable. Matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",LEFT hand; thumb = force/motion; first (index) finger = magnetic FIELD; second (middle) finger = conventional CURRENT; mutually perpendicular relationship between all three,do not swap to the right hand; do not reassign which finger represents which quantity; DO NOT MIRROR OR HORIZONTALLY FLIP HAND-RULE ARTWORK. Mirroring may change handedness (a mirrored left hand can read as a right hand) and invalidate the mnemonic -- never use a mirror/flip transform of this image for any other pole/current combination.,TRUE,MOTION / FORCE; FIELD; CURRENT,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Fleming's Left Hand Rule.png,https://commons.wikimedia.org/wiki/File:Fleming%27s_Left_Hand_Rule.png,"Openly licensed -- treat primarily as geometry/reference, not artwork to imitate",B visual / strong semantic cross-check,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.fleming-left-hand.teaching.state.teaching"",""displayName"":""Fleming's left-hand mnemonic (teaching only)"",""pedagogicalState"":""TEACHING""}",1,teaching,fleming-left-hand-teaching-base,apps/mobile/src/assets/instructional/unit202/teaching/fleming-left-hand-teaching-base,,SAVED,FALSE,FALSE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.generator.rotating-loop.horizontal,unit202.family.fleming-right-hand-generator,Fleming's right-hand rule / AC generator effect,Simple rotating-loop AC generator — loop plane facing poles — near-zero EMF,PHENOMENON,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.emf.ac-generation-principles,"Show a single loop of wire, loop plane facing the poles head-on (widest visible loop face), rotating on a central axis between N and S poles, establishing the physical basis of single-loop AC generation at Level 2 depth.","One premium illustration of a single wire loop, loop plane facing the poles head-on (widest visible loop face), rotating on a central axis between clearly labelled N and S poles, with a minimal slip-ring/output connection concept, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","N/S magnetic poles; loop/coil between the poles; loop plane facing the poles head-on (widest visible loop face) -- this specific pose is the defining physical fact of this asset, never mixed with the sibling pose asset; central rotational axis; output/slip-ring concept at governed Level-2 abstraction; rotating conductor cuts magnetic flux","do not substitute a detailed modern alternator; do not add three-phase windings, phasors or brushes/commutator detail beyond governed scope; do not depict the edge-on loop pose in this asset -- that is the sibling ProductionAsset",TRUE,N; S; coil/loop; rotation indicator; output where useful,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Diagram of single-phase generator with two poles.svg,https://commons.wikimedia.org/wiki/File:Diagram_of_single-phase_generator_with_two_poles.svg,CC0/public-domain reference material where recorded,A concept,Pearson Scott Foresman — Dynamo (PSF).png,https://commons.wikimedia.org/wiki/File:Dynamo_(PSF).png,CC0/public-domain,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.generator.rotating-loop.horizontal.state.near-zero-emf"",""displayName"":""Loop plane facing poles — near-zero EMF"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,generator-rotating-loop-horizontal-base,apps/mobile/src/assets/instructional/unit202/hybrid/generator-rotating-loop-horizontal-base,generator.rotating_loop,READY_TO_PROMPT,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 1 sibling asset(s) (unit202.generator.rotating-loop.vertical) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.generator.rotating-loop.vertical
Unit 202,unit202.generator.rotating-loop.vertical,unit202.family.fleming-right-hand-generator,Fleming's right-hand rule / AC generator effect,Simple rotating-loop AC generator — loop plane edge-on to poles — near-peak EMF,PHENOMENON,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.emf.ac-generation-principles,"Show a single loop of wire, loop plane edge-on to the poles (loop seen from the side, near its thinnest silhouette), rotating on a central axis between N and S poles, establishing the physical basis of single-loop AC generation at Level 2 depth.","One premium illustration of a single wire loop, loop plane edge-on to the poles (loop seen from the side, near its thinnest silhouette), rotating on a central axis between clearly labelled N and S poles, with a minimal slip-ring/output connection concept, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","N/S magnetic poles; loop/coil between the poles; loop plane edge-on to the poles (loop seen from the side, near its thinnest silhouette) -- this specific pose is the defining physical fact of this asset, never mixed with the sibling pose asset; central rotational axis; output/slip-ring concept at governed Level-2 abstraction; rotating conductor cuts magnetic flux","do not substitute a detailed modern alternator; do not add three-phase windings, phasors or brushes/commutator detail beyond governed scope; do not depict the face-on loop pose in this asset -- that is the sibling ProductionAsset",TRUE,N; S; coil/loop; rotation indicator; output where useful,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Diagram of single-phase generator with two poles.svg,https://commons.wikimedia.org/wiki/File:Diagram_of_single-phase_generator_with_two_poles.svg,CC0/public-domain reference material where recorded,A concept,Pearson Scott Foresman — Dynamo (PSF).png,https://commons.wikimedia.org/wiki/File:Dynamo_(PSF).png,CC0/public-domain,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.generator.rotating-loop.vertical.state.near-peak-emf"",""displayName"":""Loop plane edge-on to poles — near-peak EMF"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,generator-rotating-loop-vertical-base,apps/mobile/src/assets/instructional/unit202/hybrid/generator-rotating-loop-vertical-base,generator.rotating_loop,READY_TO_PROMPT,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 1 sibling asset(s) (unit202.generator.rotating-loop.horizontal) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.generator.rotating-loop.horizontal
Unit 202,unit202.fleming-right-hand.teaching,unit202.family.fleming-right-hand-generator,Fleming's right-hand rule / AC generator effect,Fleming right-hand rule — generator teaching mnemonic,MNEMONIC,TEACHING,REQUIRED,,HYBRID,HYBRID / PREMIUM TEACHING,P0,P0,LO5 — lesson.magnetism.effects-of-current,"Teach the generator-effect hand mnemonic: thuMb = Motion of the conductor, First finger = Field, seCond finger = induced Current/EMF, each mutually perpendicular on the right hand.","One premium illustration of a right hand with thumb, first finger and second finger held mutually perpendicular, clearly and unambiguously demonstrating Motion/Field/induced-Current correspondence. Include the explanatory annotations MOTION, FIELD and INDUCED CURRENT / EMF on the corresponding digit -- this is a TEACHING asset and clear labels are part of the deliverable. Matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",RIGHT hand; thumb = conductor MOTION; first (index) finger = magnetic FIELD; second (middle) finger = induced current/EMF; three directions mutually perpendicular,do not swap to the left hand; do not reassign which finger represents which quantity; DO NOT MIRROR OR HORIZONTALLY FLIP HAND-RULE ARTWORK. Mirroring may change handedness (a mirrored right hand can read as a left hand) and invalidate the mnemonic -- never use a mirror/flip transform of this image for any other rotation phase.,TRUE,MOTION; FIELD; INDUCED CURRENT / EMF,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Fleming's original 1902 right-hand-rule figure (Wikimedia Commons),https://commons.wikimedia.org/wiki/File:Fleming%27s_right_hand_rule.png,Public-domain historical work,A+,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.fleming-right-hand.teaching.state.teaching"",""displayName"":""Fleming's right-hand mnemonic (teaching only)"",""pedagogicalState"":""TEACHING""}",1,teaching,fleming-right-hand-teaching-base,apps/mobile/src/assets/instructional/unit202/teaching/fleming-right-hand-teaching-base,,SAVED,FALSE,FALSE,APPROVED_EXISTING,HIGH,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.levers.class-1,unit202.family.levers,Lever classes,Lever — Class I,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO3 — lesson.foundation.physics.simple-machines,Show a Class I lever arrangement (fulcrum between effort and load) so a learner can recognise it from the arrangement itself.,"One premium illustration of a bar with the fulcrum positioned between a clearly marked effort point and load point, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",fulcrum positioned between the effort point and the load point,do not blend this with the Class II or Class III arrangement,TRUE,EFFORT; LOAD; FULCRUM,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Pearson Scott Foresman — Lever (PSF).svg,https://commons.wikimedia.org/wiki/File:Lever_(PSF).svg,Public domain,A+,,,,FALSE,TRUE,FALSE,,"{""stateId"":""unit202.levers.class-1.state.recognition"",""displayName"":""Class I recognition (no distances)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.levers.class-1.state.moment-balance"",""displayName"":""Class I with effort-arm/load-arm distances"",""pedagogicalState"":""MULTI_STATE""}",2,hybrid,levers-class-1-base,apps/mobile/src/assets/instructional/unit202/hybrid/levers-class-1-base,mechanical.lever_arrangement,SAVED,FALSE,TRUE,COMPOSITE_NEEDS_CROP,MEDIUM,Confirmed composite (CC-11.8 proof): Lever_(PSF).svg contains 3 stacked lever-class diagrams. This asset is the TOP diagram.,unit202.levers.class-2; unit202.levers.class-3
Unit 202,unit202.levers.class-2,unit202.family.levers,Lever classes,Lever — Class II,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO3 — lesson.foundation.physics.simple-machines,Show a Class II lever arrangement (load between fulcrum and effort) so a learner can recognise it from the arrangement itself.,"One premium illustration of a bar with the load positioned between a clearly marked fulcrum and effort point, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",load positioned between the fulcrum and the effort point,do not blend this with the Class I or Class III arrangement,TRUE,EFFORT; LOAD; FULCRUM,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Pearson Scott Foresman — Lever (PSF).svg,https://commons.wikimedia.org/wiki/File:Lever_(PSF).svg,Public domain,A+,,,,FALSE,TRUE,FALSE,,"{""stateId"":""unit202.levers.class-2.state.recognition"",""displayName"":""Class II recognition (no distances)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.levers.class-2.state.moment-balance"",""displayName"":""Class II with effort-arm/load-arm distances"",""pedagogicalState"":""MULTI_STATE""}",2,hybrid,levers-class-2-base,apps/mobile/src/assets/instructional/unit202/hybrid/levers-class-2-base,mechanical.lever_arrangement,SAVED,FALSE,TRUE,COMPOSITE_NEEDS_CROP,MEDIUM,"Shares the identical Lever_(PSF).svg file with unit202.levers.class-1 (confirmed composite, CC-11.8 proof). This asset is the MIDDLE diagram.",unit202.levers.class-1; unit202.levers.class-3
