"field","level","schemaLocation","totalApplicable","adopting","notAdopting","omissionCurrentlyPassesValidation","shouldBecomeMandatoryDuringRemediation","proposedMandatoryStage","notes"
"routePolicy","lesson","packages/content-schema/src/lesson-plan.ts","24","0","24","true","false","Stage 5 (canonical lesson storyboard) for any lesson explicitly targeting the V1 CANONICAL_FIXED_ROUTE contract; not retroactively mandatory for existing content until re-authored","0/140 across all historical releases too. Gate has a real enforcement gap (branchRoutes not checked) - see V1-ROUTE-DRIFT-REGISTER.md."
"semanticUnit","step","packages/content-schema/src/lesson-plan.ts","270","0","270","true","true","Stage 5 (canonical lesson storyboard review) for newly authored/re-authored lessons","Intended to prevent one-sentence fragmentation review failures; currently unusable as a QA signal since unpopulated."
"deliberateShortSectionReason","step","packages/content-schema/src/lesson-plan.ts","270","0","270","true","true","Stage 5, required specifically for any step under a short-content threshold at authoring time","This audit's own mechanical fragmentation test found 0 qualifying steps in the real corpus, so this field would currently have nothing to justify - not urgent for existing content, should be mandatory going forward."
"textOnlyJustification","lesson","packages/content-schema/src/lesson-plan.ts","24","0","24","true","true","Stage 6 (visual opportunity analysis) - should become mandatory the moment a lesson is confirmed to have zero visual references","11/24 real lessons (45.8%) have zero visual references and none declares this field - see LESSON-DEPTH-AND-FRAGMENTATION-REGISTER.md."
"mayRevealTargetAnswer","step","packages/content-schema/src/lesson-plan.ts","270","0","270","true","true","Stage 11 (lesson content implementation) - every teaching step touching a capability that is later graded should positively declare this field, true or false, rather than defaulting silently","Real, correctly implemented answer-leak gate; unexercised. Live answer-leak status across the corpus was not exhaustively verified by this audit - see REPRESENTATIVE-FAILURE-ROOT-CAUSE-TRACE.md #6."
"visualOpportunityAnalysisId","lesson","packages/content-schema/src/lesson-plan.ts","24","0","24","true","true","Stage 6 (visual opportunity analysis) - should become mandatory for any lesson re-entering the pipeline","Zero real VisualOpportunityAnalysis objects exist anywhere in the repo to reference."
"assessmentMappingIds","lesson","packages/content-schema/src/lesson-plan.ts","24","0","24","true","true","Stage 8 (formative assessment plan and assessment-to-lesson mapping) - mandatory once a formative assessment exists that could reference this lesson","No formative assessment exists yet for any lesson to map to."
"requiredKnowledgeIds","questionBlueprint","packages/content-schema/src/pedagogy.ts","114","0","114","true","true","Stage 7 (lesson-check plan) for embedded checks, Stage 8 for formative items","The taught-before-tested validator currently only exercises this field when populated; 0 adoption means the fine-grained per-question check has never actually run against real data."
"v1PedagogicalRole","questionBlueprint","packages/content-schema/src/pedagogy.ts","114","0","114","true","true","Stage 7/8 - every blueprint should positively declare LESSON_CHECK vs FORMATIVE_MOCK vs SUMMATIVE vs EXAM_PRACTICE","Without this, the FORMATIVE_MOCK-requires-revisionLessonIds superRefine can never fire against real data."
"revisionLessonIds (on questionBlueprintManifestSchema)","questionBlueprint","packages/content-schema/src/pedagogy.ts","114","0","114","true","true","Stage 8 - mandatory for every FORMATIVE_MOCK-classified item once formative content exists","Depends on v1PedagogicalRole adoption first."
"VisualOpportunityAnalysis (object instances)","corpus-wide object","packages/content-schema/src/visual-governance.ts","24","0","24","true","true","Stage 6","Real, operative visual planning for Unit 202 used a structurally different, older ad hoc system (tools/visual-production-studio/catalogue.ts), not this schema."
"VisualRequirement (VRR entries)","corpus-wide object","packages/content-schema/src/visual-governance.ts","53","0","53","true","true","Stage 6","53 = the real catalogued/produced asset count from the old system (unit202-final-state-completeness.md); none expressed in the new VRR shape."
"ReferenceDossier (approved dossiers)","corpus-wide object","packages/content-schema/src/visual-governance.ts","53","0","53","true","true","Stage 9","Real reference governance runs through tools/visual-production-studio/reference-corrections.ts (a schema-unvalidated table), not this object. Authority chain is substantively sound (real, dated, named Product Owner handover) but not schema-expressed."
"designSystemVersion binding","corpus-wide object","packages/content-schema/src/visual-governance.ts","53","0","53","true","true","Stage 10","CURRENT_DESIGN_SYSTEM_VERSION = ALP-VDS-2026-08-29 declared but bound to zero real assets."
"ProductionVisualAsset (eligibility state)","corpus-wide object","packages/content-schema/src/visual-governance.ts","21","0","21","true","true","Stage 12","21 = real shipped/runtime-resolvable assets (CANONICAL_ASSET_LOCK). Runtime resolution is fully disconnected from this schema field - see VISUAL-GOVERNANCE-AND-COVERAGE-REGISTER.md."
"FormativeAssessmentInstance / SubmittedAssessmentResult","corpus-wide object","packages/content-schema/src/assessment-instance.ts","0","0","0","true","true","Stage 13 (assessment implementation)","totalApplicable is 0 because no formative assessment content or runtime feature exists at all yet - there is nothing to adopt this contract, not merely low adoption."
"GuidedRevisionPlan","corpus-wide object","packages/content-schema/src/guided-revision.ts","0","0","0","true","true","Stage 16 (assessment to Guided Revision qualification)","No persistence/UI/caller exists anywhere - pure function only, zero real plan instances possible until stage 13 exists."
"LearningPackageGateResult","corpus-wide object","packages/content-schema/src/learning-package-gate.ts","24","0","24","true","true","Stage 18 (release readiness) - should become the actual release gate","isPublicationReady() is never called outside its own test file. No lesson has ever had a real gate-result record produced."
