reviewPage,visualId,decision,referenceDisposition,requiredAction,semanticFinding
2,unit202.current-conductor.magnetic-field.state.into-page-teaching,KEEP,KEEP_REFERENCE,Keep current output/reference.,"Simple, legible state-specific 2D teaching diagram."
3,unit202.current-conductor.magnetic-field.state.into-page-assessment,KEEP,KEEP_REFERENCE,Keep current output/reference.,Assessment retains X stimulus and withholds circulation.
4,unit202.current-conductor.magnetic-field.state.out-of-page-teaching,KEEP,KEEP_REFERENCE,Keep current output/reference.,Dot stimulus and counter-clockwise field circulation are clear.
5,unit202.current-conductor.magnetic-field.state.out-of-page-assessment,KEEP,KEEP_REFERENCE,Keep current output/reference.,Assessment withholds circulation.
6,unit202.right-hand-grip.teaching,REDO,KEEP_REFERENCE_PREPARE_EXACT_ARROW,Keep right-hand reference but require the magnetic-field arrow to follow the curl of the fingers around the conductor; remove detached little-finger-to-index-finger arrow.,"Handedness is correct, but the field-direction cue does not visually teach curled fingers = field circulation."
7,unit202.motor.effect.horizontal-poles.state.into-page-teaching,REDO_FAMILY,REFERENCE_REDESIGN_STATE_SPECIFIC,"Build exact state reference: one N/S pair, one N→S magnetic-field-line system, X conductor marker, one reference-authorised force arrow. No direction re-derivation.",Pedagogically opaque; competing/duplicated field/force cues.
8,unit202.motor.effect.horizontal-poles.state.into-page-assessment,REDO_FAMILY,REFERENCE_REDESIGN_STATE_SPECIFIC,Same exact apparatus as teaching sibling but withhold force arrow only.,Assessment sibling should differ only by answer cue.
9,unit202.motor.effect.horizontal-poles.state.out-of-page-teaching,REDO_FAMILY,REFERENCE_REDESIGN_STATE_SPECIFIC,"Exact state reference: one N/S pair, one field system, dot marker, one reference-authorised force arrow.",Same family-level clarity failure.
10,unit202.motor.effect.horizontal-poles.state.out-of-page-assessment,REDO_FAMILY,REFERENCE_REDESIGN_STATE_SPECIFIC,Same apparatus as teaching sibling; withhold force arrow only.,Same family-level clarity failure.
11,unit202.motor.effect.vertical-poles.state.into-page-teaching,REDO_FAMILY,REFERENCE_REDESIGN_STATE_SPECIFIC,"Build separately verified vertical state reference with one field system, X marker and one force arrow.",Current image is not immediately interpretable.
